Identifiant;Nom_officiel;Adresse;Lieu;Code_postal;Ville;Departement;Région;URL;Telephone;Categorie;Domaine_thematique;Histoire;Atout;Thèmes;Artiste;Personnage_phare;Intérêt;Protection_batiment;Protection_espace;Refmer;Annee_creation;Date_de_mise_a_jour;Coordonnees
M0398;musée de la ville;quai François Truffaut;MUMED;78180;Montigny-le-Bretonneux;Yvelines;Ile-de-France;www.saint-quentin-en-yvelines.fr/fr/sortir-et-decouvrir/envie-de-culture/le-musee-de-la-ville-et-le-patrimoine/le-musee;01 34 52 28 80;Ecomusée;Art moderne et contemporain,Ethnologie,Histoire,Photographie,Technique et industrie;Le musée de la ville s'est d'abord constitué autour des collections sur le passé rural et cheminot et les cartes postales (notamment du début du XXe siècle) pour s'orienter ensuite sur les villes nouvelles avec des collections sur l'architecture, l'urbanisme et l'art public.  A ces collections, il faut ajouter maintenant le design et les objets de la vie quotidienne de la seconde moitié du XXe siècle, collection aujourd'hui la plus importante en nombre et en renommée.;Fonds d'archives sur les villes nouvelles, approche sociologique des objets «design». Collections axées sur le contemporain et l'urbain, s'appuyant sur une démarche scientifique, à la fois ethnologique, historique et urbanistique.;"Architecture et urbanisme (Plans, maquettes (villes nouvelles de la région parisienne, aménagement de St Quentin-en-Yvelines), );Arts décoratifs (Design : 1966 à nos jours, objets de la vie quotidienne, mobilier signé.);Autres collections : Archives papier, Archives sonores, Image animée, Photographie, Plans;Ethnologie (ethnologie urbaine, géographie urbaine.), Mobilier, Autre(s),  (objets de la vie quotidienne du XXème siècle.);Histoire (architecture urbaine.), Période historique, Histoire locale et régionale";;;;;;;;2024-01-26;48.782594, 2.042664
M0403;musée municipal Robert Dubois-Corneau;16 rue du Réveillon;;91800;Brunoy;Essonne;Ile-de-France;www.brunoy.fr/vos-demarches-services/vie-culturelle-et-animations/musee/;01 60 46 33 60;;Beaux-arts,Histoire;La création du musée remonte à 1951, date à laquelle Robert Dubois-Corneau, historien local et collectionneur spécialisé dans l'étude du XVIIIe siècle, légua ses collections à la ville de Brunoy pour en faire un musée.  Depuis, la collection s'est enrichie de fonds variés relatifs à l'histoire de la vallée de l'Yerres ou à des artistes installés dans la région : le peintre Maurice Eliot (1862-1945), le sculpteur Maurice Prost (1894-1967), le photographe Lucien Caussat (1898-1998).;Collections du XVIIIe siècle autour du château et des Eaux de Brunoy, de Jean Pâris de Monmartel et du comte de Provence.  Collections en rapport avec François-Jospeh Talma, comédien favori de Napoléon Ier. Peintures du XIXe siècle. Sculpture animalière du XXe siècle.;"Arts décoratifs : Céramique;Beaux-Arts : Estampe et Affiche, Sculpture, Peinture;Autres collections : Photographie, Ouvrages de bibliophilie, Cartes postales;Histoire : Histoire locale et régionale";Maurice Eliot, Numance Bouel, Maurice Prost, Pierre Dandelot.;J.P. de Monmartel, Marquis de Brunoy, comte de Provence, Talma,;Villa de villégiature du XIXe siècle ayant conservé en façade une décoration éclectique faite de mosaïques et d'arcs néo-mauresques, et à l'intérieur un décor de boiseries, stucs et mosaïques de pavement.;;Site patrimonial remarquable.;SPR1100034;1951;2024-01-30;48.700308, 2.500293
M0406;musée des années trente;26 avenue André Morizet;;92100;Boulogne-Billancourt;Hauts-de-Seine;Ile-de-France;www.boulognebillancourt.com/loisirs/culture/les-musees/musee-des-annees-trente;01 55 18 46 42;;Arts décoratifs,Beaux-Arts,Histoire;L'ancien musée municipal a été crée en 1939, à l'intiative de M. Morizet (alors maire) et du Dr Bezançon. Ce dernier, avec l'aide de la société historique et artistique, dont il était le président, réunit de nombreux documents et objets d'art. Le musée est ouvert au public en 1958.  Le nouveau musée des années 1930 accueille, lui, le public depuis 1998. Les collections des années 1930 y sont tout particulièrement valorisées, aux côtés de celles présentant l'histoire de la ville, de ses industries (automobile, aviation), ses studios de cinéma ou encore ses stades de sport.  Le musée possède la plus importante collection d'art de l'entre-deux-guerres : 450 peintures, 2.000 dessins, plus de 800 sculptures, importantes pièces de décoration et de mobilier.;"Sculptures monumentales dans le hall d'entrée. Peintures de l'école de Paris. Thématiques des années 1930 (vie parisienne, paysages, voyages, décorations, mais aussi entrée en guerre). Documents relatifs aux ""Dimanches de Boulogne"" (autour de Juan Gris, Khanweiler, Max Jacob, Picasso, ...). Art colonial. Ameublement et décoration. Plans. Maquettes.";"Art moderne et contemporain;Arts décoratifs;Arts du spectacle : Cinéma;Beaux-Arts : Dessin, Peinture, Sculpture;Autres collections : Photographie, Plans;Histoire;Sciences et techniques : Industrie";Juan Gris, Boutet de Monvel, Alfred Courmes, Maurice Denis, George Desvallières, Amédée de La Patelière, Eugène Poughéon, Jean Souverbie, Henry de Waroquier, Henry Arnold, Joseph Bernard, Charles Despiau, Alfred Janniot, Paul Landowski, Robert Wlérick, des frères Jan et Joël Martel;;;;;;;2024-01-30;48.834945, 2.241177
M0408;musée-jardin Paul Landowski;14 rue Max Blondat;;92100;Boulogne-Billancourt;Hauts-de-Seine;Ile-de-France;www.boulognebillancourt.com/loisirs/culture/les-musees/musee-paul-landowski;01 55 1 8 46 42;;Beaux-Arts;Aménagées au sein de l’Espace Landowski depuis septembre 2017, les collections du sculpteur Paul Landowski ont été données par ses héritiers à la Ville de Boulogne-Billancourt en 1982.  Dans ce musée, on peut découvrir l’œuvre de l’artiste, Grand Prix de Rome de sculpture en 1900, mondialement connu durant l’entre-deux-guerres, notamment grâce au célèbre Christ rédempteur qui domine la baie de Rio de Janeiro du haut du mont du Corcovado.;Les sculptures exposées sont représentatives de l’œuvre de Paul Landowski. La petite statuaire rend compte de son art intimiste. Les maquettes montrent l’ampleur de son travail monumental particulièrement présent à Paris (Jardins des Tuileries, Panthéon, Trocadéro, Invalides…). Les murs du Temple de l’Homme donnent enfin la dimension d’un projet majeur, rêve irréalisé, retraçant l’histoire de l’humanité en bas-relief et ronde bosse.;"BEAUX-ARTS;Sculpture.";Paul Landowski (1875 - 1961);;;;;;;2024-01-30;48.844261, 2.246847
M0412;musée d'art et d'histoire;11 rue des Pierres;maison d'Armande Béjart;92190;Meudon;Hauts-de-Seine;Ile-de-France;musee.meudon.fr/;01 46 23 87 13;Musée de plein air;Art moderne et contemporain,Beaux-arts,Histoire;Les collections d'histoire locale du musée ont d'abord été réunies par la Société des amis de Meudon de 1936 à 1973, puis par la ville de Meudon à partir de 1973. Les collections d'art contemporain (sculpture) ont été constituées à partir de 1973 par la ville de Meudon. De nombreuses sculptures sont exposées dans le jardin du musée.;Histoire de Meudon. Peinture française de paysage. Sculpture et peinture de la seconde moitié du XXe siècle.;"Architecture et urbanisme;Art moderne et contemporain;Beaux-Arts : Sculpture;Histoire";Arp, Magnelli, Stahly.;;Plus ancienne maison de Meudon (1550), donnant sur un très beau jardin dans lequel sont installées des sculptures.;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00088121?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Meudon%22%5D&last_view=%22list%22&idQuery=%226a2b0c-51f0-0cf2-5125-3d22db07df1%22;Site classé.;"PA00088121;IA92000390";;2024-01-30;48.806412, 2.234894
M0417;musée du domaine départemental de Sceaux;Domaine Départemental de Sceaux;château;92330;Sceaux;Hauts-de-Seine;Ile-de-France;domaine-de-sceaux.hauts-de-seine.fr/;01 41 87 29 50;Jardin remarquable.;Beaux-arts;Le musée du Domaine Départemental de Sceaux est né en 1937. Le fonds ancien vient du musée Carnavalet. Plusieurs donations ont enrichi les collections : Dunoyer, Fautrier, Millet, etc.;"Paysagistes du XIXe siècle. Ouvrages d'art en relation avec l'histoire du domaine Céramiques provenant des manufactures des environs de Paris. 300 tirages photographiques de Atget. Histoire des différents propriétaires qui ont scellé le destin du domaine de Sceaux. La nouvelle présentation des collections invite les visiteurs à suivre la chronologie propre de l’histoire du domaine ou de s’intéresser, plus largement, au goût français de Louis XIV à Napoléon III à travers les nombreuses œuvres et objets d’art représentatifs de l’art de vivre à la française. Ce nouveau parcours de visite consacre à chacun des propriétaires l’une des grandes salles du château : Colbert, Maine, Penthièvre, Trévise ; et les salles intermédiaires à l'histoire générale du domaine, la céramique de Sceaux, l’importance du livre sous l’Ancien Régime et la transition entre l’ancien et le nouveau château. La salle dite des Deux Princes (le prince de Dombes et le comte d’Eu, fils du duc et de la duchesse du Maine) offre ainsi la belle ambiance d’une table dressée pour un petit souper au milieu du XVIIIe siècle, tandis que la salle Neuilly, consacrée au souvenir du château détruit de Joachim Murat, puis des Orléans, réunit en une chambre à coucher de style Empire des pièces de mobilier, parmi lesquelles un lit créé par François Honoré Georges Jacob-Desmalter et à la demande de Caroline Murat, puis occupé par la troublante Pauline Borghèse.";"Art moderne et contemporain (Fautrier);Arts décoratifs : Céramique, Mobilier, Textiles, Verrerie;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Autres collections : Archives papier, Fonds ancien d imprimés, Photographie, Manuscrits, incunables;Histoire : Histoire locale et régionale;Sciences et techniques : Transports terrestres";Atget, Fautrier.;Les propriétaires du Domaine de Sceaux. La cour royale aux XVIIe et XVIIIe siècles, Colbert, duchesse du Maine, duc de Penthièvre, duchesse et duc de Trévise.;"Bâti entre 1856 et 1862 pour le duc et la duchesse de Trévise. Sollicité par le duc de Trévise, Augustin-Téophile Quantinet (1795-1867) multiplia, pendant plus d’une dizaine d’années, les projets d’un château « brique et pierre ». Il renonça toutefois à mener le chantier, finalement dirigé par un autre architecte, Joseph-Michel Le Soufaché (1804-1887). Totalement rénové, le château des Trévise a retrouvé ses fastes des siècles passés. Les meilleurs représentants du savoir-faire français de tradition ont été sollicités, telle la célèbre Manufacture Prelle, créée à Lyon en 1752, qui a tissé sur des modèles historiques les soieries de sept salles du musée ; telles Les Passementeries de l’Île-de-France qui ont réalisé, au fil de soie et à la main, les galons, les pompons et les embrasses de tous les rideaux ; tels encore les établissements Mathieu Lustrerie qui ont restauré et rééquipé l’ensemble des luminaires du château, parmi lesquels des lustres de bronze doré ou argenté aux pendeloques de cristal de roche… Conçue dans le respect des répertoires décoratifs de chaque époque et attentive à la qualité des matériaux (textures et couleurs), cette muséographie permet à chaque œuvre d’exprimer désormais son plein et entier potentiel esthétique.";Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00088146;Site inscrit. Abords d'un Monument historique.;"PA00088146;IA00119734;IA92000402";;2024-01-30;48.774707, 2.299024
M0418;MUS - musée d'histoire urbaine et sociale de Suresnes;1 place de la gare de Suresnes-Longchamp;;92150;Suresnes;Hauts-de-Seine;Ile-de-France;webmuseo.com/ws/musee-suresnes/app/report/index.html;01 41 18 37 37;;Ethnologie,Histoire,Technique et industrie;Le Musée de Suresnes est l’héritier des collections de plusieurs érudits locaux. Celles réunies par un industriel, Narcisse Meunier, et un instituteur, Edgard Fournier, sont à l’origine de la création d’un premier musée en 1890. Le premier catalogue en dressant l’inventaire remonte à 1904. En 1926, un collectionneur, Xavier Granoux, et un directeur d’école, Octave Seron, rassemblent sur le stand d’une exposition communale les documents des vitrines municipales et des souvenirs conservés dans des familles suresnoises. Le succès de la manifestation incite le maire, Henri Sellier, à créer un musée municipal permanent géré par la Société historique et artistique de Suresnes qui conservera dès lors le patrimoine local historique et ethnographique de la ville (estampes, dessins, photographies, outils de vignerons et d'agriculteurs) témoignant ainsi de son évolution urbaine. En 1953 le musée est officiellement remis au maire de Suresnes par le président de la Société historique de Suresnes, René Sordes, qui le réorganise et lui donnera son nom. En 1978, le musée déménage dans une passerelle piétonnière avenue Charles de Gaulle. Le projet ambitionne alors de placer les Arts et traditions populaires au cœur de la rénovation urbaine en les rendant accessibles sur un lieu de passage. Mais la configuration des lieux ne permet ni un parcours muséographique dynamique ni un déploiement des collections. En 1998 le musée doit fermer. Il n’a présenté depuis que des expositions temporaires dans une galerie en centre ville. Auparavant, la ville avait recruté un conservateur du patrimoine chargé de rénover et de repenser le musée. Un nouveau projet scientifique et culturel est validé par la Ville et le Ministère de la Culture en 2003. Il prolonge l’histoire dont le MUS est l’héritier, en redéfinissant son récit, en complétant les collections et en harmonisant leur statut juridique. La politique actuelle d'acquisitions cherche à développer une spécificité sur l'urbanisme social de l'entre-deux-guerres. Le musée conserve une importante documentation iconographique sur les principales réalisations architecturales de cette époque : cité-jardins, Ecole de Plein Air, lycée Paul Langevin, crèche Darracq... à laquelle viennent s'ajouter des témoignages oraux, des maquettes et des objets liés à la vie quotidienne au sein de ces équipements. Un intérêt important est aussi porté à l'histoire viticole et industrielle de la ville.;Le parcours muséographique est le suivant : - « Suresnes, hier, aujourd’hui et demain » : des cartes projetées sur une maquette topographique permettent de visualiser l’évolution de la ville. -  « Le village viticole » : le Mont-Valérien est évoqué d’abord comme lieu de pèlerinage religieux, puis citadelle militaire et enfin lieu de mémoire. Quelques objets témoignent du passé viticole de la ville. - « La ville industrielle » : présentation du passé industriel de Suresnes grâce à des boîtes à biscuits, flacons de parfum (Coty, Worth, Volnay signés René Lalique), postes de radio Radiola, téléviseur Philips et à l’évocation iconographique des activités aéronautiques (Blériot, Nieuport) et automobiles (Darracq, le Zèbre). - « La ville en mutation » : un dispositif multimédia présente les problématiques liées au logement en France afin de replacer Suresnes et son histoire dans celle de l’agglomération parisienne. - « Henri Sellier » : sa personnalité, son rôle politique : maire de Suresnes de 1919 à 1941, fondateur de l’Office des Habitations à Bon Marché de la Seine, Ministre de la santé publique, figure marquante et fondatrice de l’urbanisme social. - « Le projet urbain » : une borne interactive sur 15 cités-jardins d’Ile-de-France, préfigurant le « Grand Paris ». L’aménagement de Suresnes :  projection sur la maquette de la Cité-jardins, maquettes en 3 D de logements types. - « Le projet social » : un urbanisme prônant la mixité, le vivre-ensemble, l’hygiénisme à travers des groupes scolaires innovants, l’école de plein air d’Eugène Beaudouin et Marcel Lods destinée aux enfants pré-tuberculeux ou rachitiques.;"Architecture et urbanisme;Arts décoratifs : Mobilier, Verrerie;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Autres collections : Fonds ancien d imprimés, Photographie, Numismatique;Histoire : Histoire locale et régionale;Sciences fondamentales : Physique;Sciences et techniques : Industrie";;Henri Sellier, Hippolyte Fizeau.;Une étude de programmation est réalisée, suivie du cahier des charges pour le lancement du concours de maîtrise d’œuvre. Parmi les quatre-vingts équipes ayant participé, c’est celle du cabinet Encore Heureux Architectes, lauréat des Nouveaux Albums des Jeunes Architectes (NAJA) en 2006, associé à AAVP, PL architecture (HQE), INCET (bureau d’études), Ducks Scéno (scénographes associés) et Directeur Général (graphisme), qui est sélectionnée pour rénover le musée. L’emplacement choisi est celui de la gare de Suresnes-Longchamp, témoin de l’architecture ferroviaire de la fin du XIXe siècle. Inaugurée en 1889 pour l’Exposition universelle, la gare jalonnait la ligne dite des Moulineaux, reliant Paris-Saint Lazare aux Invalides et permettant de desservir l’hippodrome de Longchamp, à l’origine de son nom. Après la fin de l’exploitation de la ligne SNCF, en 1993, le bâtiment avait été acquis par la ville en 2004. Il se caractérise par une façade en brique, un rez-de-chaussée en calcaire, des chaînages en pierre de taille et l’utilisation du zinc et de l’ardoise naturelle en couverture;;Site patrimonial remarquable.;SPR1100047;;2023-04-12;48.868303, 2.221944
M0420;musée de l'histoire vivante;31 boulevard Théophile Sueur;parc Montreau;93100;Montreuil;Seine-Saint-Denis;Ile-de-France;www.museehistoirevivante.fr/;"01 48 54 32 44 ; 01 48 54 36 08";Musée d'Histoire;Histoire;Le musée est inauguré en mars 1939.  Les collections d’origine couvrent une large période, de la Révolution française à la Seconde guerre mondiale et sont issues de nombreuses donations et acquisitions. L’orientation scientifique du musée prise à partir des années 1990 vers l’histoire ouvrière et sociale et depuis 2004 dans le cadre du projet d’ouverture d’un musée d’histoire du mouvement ouvrier a conduit à redéfinir les priorités de nos collections. Ainsi, aux collections iconographiques s’ajoutent des bibliothèques et des fonds d’archives.;Présenter l’histoire des révolutions, expressions du mouvement ouvrier était au centre des préoccupations des fondateurs du musée. Les collections, bien qu’elles dépassent ce cadre, se sont constituées dans cette optique, faisant de ce thème l’axe central du musée et définissant son objet. Les collections, des sans-culottes de 1789 aux ouvriers de 1970, offrent un large panorama du mouvement ouvrier dans son quotidien comme dans ses revendications. Pour autant, elles peuvent être croisées avec les collections historiques pour avoir une vision globale des fonds. Fonds d'estampes et de gravures de la Révolution française, de l'Empire, Guerre de 1870, de la Commune de Paris 1871. Manuscrits de Jean Jaurès. Manuscrits de Louise Michel. Croquis de guerre de Steinlen. Fonds Résistance. Journaux de Prisons. Archives du parti communiste français.;;;Louis XVI, Marie-Antoinette. Robespierre et les révolutionnaires de 1789-1794. Napoléon Ier. Napoléon III. Jules Vallès. Le Père Enfantin. Armand Barbès. Edouard Vaillant. Jean Jaurès. Alfred Deyfus. Daniel Renoult. Jacques Duclos.;;;;;1939;2024-01-30;48.866151, 2.469481
M0429;musée de Saint-Maur - Villa Médicis;5 rue Saint-Hilaire - 92 avenue du Bac - rue de la Poste;carré Médicis;94210;La Varenne-Saint-Hilaire;Val-de-Marne;Ile-de-France;www.saint-maur.com/?id=127;01 48 86 33 28;;Archéologie,Arts décoratifs,Beaux-Arts;"En 1920, la veuve du sénateur Maujan fait don à la ville d’un ensemble de sculptures qui sont un temps entreposées dans la tour Rabelais sur le site de l’Abbaye. En 1927, création du musée local de Saint-Maur par la Société ""le Vieux-Saint-Maur"". Installé dans la propriété Frot à La Varenne, il présente le fonds lapidaire recueilli sur le site de l'abbaye. Dès 1929, le maire Auguste Marin souhaite compléter ce fonds historique par des collections de peintures et de sculptures afin de constituer un véritable musée de Beaux-arts.   En 1932 installation du musée local : peintures et sculptures, dépôts de la Préfecture de la Seine, important collection lapidaire, grande galerie de peintures, dessins, gravures se rapportant à l'histoire de la ville de Saint-Maur. En 1933, la société d’histoire et d’archéologie ""Le Vieux Saint-Maur"" cède à la ville ses collections archéologiques et de nombreux documents graphiques. Le musée ouvre ses portes au public en 1934. Tout au long du XXe siècle et jusqu’à aujourd’hui, les collections du musée ne cessent de s’enrichir par des dons et des acquisitions. Le musée de Saint-Maur déménage de nombreuses fois avant de s’installer définitivement en 1983 dans la villa Médicis.  En 2018, la compétence de la gestion du Musée a été transférée au territoire Paris Est Marne & Bois.";"Collection François Black de sculptures (ensemble de marionnettes) de 1940. Collection Jean Couy (tout l'oeuvre gravé de l'artiste). Collection Edouard Cazaux (la collection publique la plus importante de ce céramiste des années 1925). Plusieurs petits maîtres du début du siècle représentant Saint-Maur et ses environs. Acquisition d'estampes : Arp, Calder, Dunoyer de Ségonzac, Giacometti, Maillol, Manessier, Marini, Picasso...; huiles sur toile : Beloni, Ferro, Genis, Tourte ; de sculptures contemporaines : Choain, Gimond, Osouf...";"Archéologie nationale : Médiéval;Arts décoratifs : Céramique;Beaux-Arts : Estampe et Affiche, Peinture, Sculpture";François Black (1881 - 1959). Jean Couy. Edouard Cazaux (1889 - 1974). Victor Lecomte (1856 - 1920). Gendron. Girodet. Mattia Preti (1613 - 1679). Edmond Desca (1855 - 1918). Lemaitre. Miller. Clément Quinton (1851 - 1921). Collet. Hagborg. Daillion, Desca, Marquet, Moria;;"Grande maison avec étage et mansarde - escalier avec une rampe en fer forgé de la première moitié du XVIIe siècle.  L'apparition officielle du nom de ""Villa Médicis"" est donné pour la première fois en 1854, dans l’acte de vente d’""une propriété connue sous le nom de château de La Varenne, et d’ancienne habitation de plaisance de la Reine Marie de Médicis"". Le rédacteur a très probablement confondu la reine Marie de Médicis (1575-1642) avec Catherine de Médicis (1519-1589) qui séjourna régulièrement au château du Bellay de Saint-Maur (aujourd’hui détruit), à partir de 1563 et du souvenir qu'elle laissa, entretenu par les différents propriétaires de la Villa, seigneurs du lieu et dépendants, pour la plupart, des princes de Condé. Aucune source historique n’indique que Catherine de Médicis séjourna également dans la villa. Il est donc permis de douter de l'existence d'un lien direct entre les reines de Médicis et la Villa. Dès la fin du XIXe siècle, la demeure est peu à peu défigurée et laissée à l’abandon. Il faut attendre la fin des années 1970 pour que la villa soit protégée et sauvée.";Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00079903?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22M%C3%A9dicis%22&ou=%5B%22Saint-Maur-des-Foss%C3%A9s%22%5D&last_view=%22mosaic%22&idQuery=%22233d6-7c30-36f8-b45-bdeb16212006%22;;"PA00079903;IA00059582";;2024-01-30;48.79310937814309, 2.5149018357668425
M0431;musée d'art contemporain du Val-de-Marne;place de la Libération;;94400;Vitry-sur-Seine;Val-de-Marne;Ile-de-France;www.macval.fr/;01 43 91 64 20;;Art moderne et contemporain,Ethnologie;Ce projet est né de la conviction du Conseil départemental du Val-de-Marne, et de son Président de 1976 à 2001, Michel Germa, relayé par son successeur Christian Favier, qu’un soutien à la création artistique, tourné résolument vers le public, concourt à l’épanouissement de chacun, à la connaissance de l’autre, au respect mutuel, à la cohésion sociale. Le fonds départemental d’art contemporain (FDAC) est créé en 1982. Le Conseil départemental du Val-de-Marne s’engage dans la réalisation d’un musée pour permettre la mise en valeur de ce fonds. Le musée ouvre en 2005. 2.500 œuvres composent la collection. Parmi elles, des œuvres d’artistes incontournables de la scène artistique, mais aussi des œuvres d’artistes émergeants, affirmant la volonté du MAC VAL d’être au plus proche de la création contemporaine.;Le seul musée à être exclusivement consacré à la scène artistique en France depuis les années 1950.;;Christian Boltanski, Bruno Perramant, Claude Closky, Gina Pane, Annette Messager, Pierre Huyghe, Judith Reigl, Arman, Jean-Pierre Bertrand, François Morellet, Alain Jacquet, Raymond Hains, Tatiana Trouvé, Valérie Jouve, Daniel Buren, Barthélémy Toguo, Valérie Belin...;;"En 1990, l’assemblée départementale prend la décision d’implanter le futur musée au carrefour de la Libération, au centre de Vitry-sur-Seine. En 1991, le maître d’œuvre est sélectionné : l’atelier d’architecture Jacques Ripault et Denise Duhart, qui présente un projet aux lignes pures et horizontales, un bâtiment blanc et transparent, ouvert sur l’espace urbain et sur un grand jardin public. En 1996, la Chaufferie avec cheminée de Jean Dubuffet est édifiée sur la place, devant le futur musée. Situé sur un terrain de 20.000 m2 au centre-ville de Vitry-sur-Seine, le bâtiment de 13.000 m2 comporte 4.000 m2 d’espaces d’expositions ; 2.600 m2 d’exposition permanente et 1.350 m2 dédiés aux expositions temporaires. Les réserves et espaces techniques représentent 1.700 m2. Le bâtiment réunit des équipements complémentaires aux espaces muséographiques : —  l’auditorium de 150 places, lieu d’accompagnement de l’activité muséale et des expositions temporaires ; —  le centre de documentation de 480 m2 ; —  des ateliers pédagogiques de 395 m2 divisés en trois ateliers —  deux ateliers-logements d’artistes accueillis en résidences pour quelques mois ; —  un restaurant ; —  un parking extérieur de 45 places Le MAC VAL est entouré d’un jardin public, ""le jardin Michel Germa"" de plus 10.000 m2. Agrémenté de sculptures et d’installations de la collection du musée, ce parc départemental a été créé par le paysagiste Gilles Vexlard.";;;;;2024-01-30;48.792821, 2.387072
